dy
30040
29017
70764
30031
-1
-1
69150
84785
-1
29965
69867
30010
-1
29438
29439
69349
69220
73497
69372
-1
73873
73773
69588
69189
-1
-1
73848
69374
73962
-1
69231
37059
72862
69232
69410
72396
69229
79307
-1
36735
69940
69938
-1
69870
69933
69957
-1
30014
-1
-1
-1
69356
69107
69128
69210
69956
71011
-1
80125
85463
68910
68606
85736
85462
-1
110685
74812
110316
-1
85504
-1
80508
79704
-1
80169
79965
70861
80846
-1
-1
84700
-1
80221
84417
70820
-1
80787
-1
80787
80785
74700
-1
80744
74414
103023
74539
-1
85320
84936
-1
74383
85484
84818
163662
-1
-1
88190
-1
-1
79927
-1
-1
85306
85095
80910
-1
80023
84835
68881
-1
85432
-1
-1
80781
85357
-1
-1
74740
-1
-1
84938
14786
68688
-1
68996
-1
-1
80218
74385
-1
80779
-1
-1
-1
70860
70840
-1
-1
-1
74280
74012
74444
-1
76727
-1
74305
76539
75240
75241
75243
75251
75876
-1
135234
-1
76357
76357
74197
-1
-1
75248
-1
75274
76832
-1
35764
-1
-1
-1
-1
-1
86299
92956
-1
85880
86118
88206
-1
93206
86282
-1
-1
92106
86440
93175
86272
-1
92827
-1
88414
-1
86232
92802
85864
92044
92072
92072
85878
92412
86248
93141
15460
86865
92747
-1
-1
-1
-1
-1
86100
86357
92856
94992
-1
92359
92041
92360
86202
92955
-1
-1
102085
10802
67479
97969
98307
-1
102209
-1
-1
107824
-1
104457
-1
-1
26925
106724
102766
106778
113308
-1
104585
-1
98081
104598
-1
-1
104805
-1
-1
-1
104878
-1
-1
10801
-1
-1
84975
-1
111340
94336
95090
-1
112624
108637
112621
113116
108512
96635
96632
107276
-1
103102
99374
-1
105550
108049
94133
113383
112516
-1
-1
-1
-1
-1
-1
96743
97577
105403
-1
112683
-1
110501
106020
106021
94215
-1
-1
-1
96646
-1
-1
113734
90829
66763
-1
88165
67551
101148
101162
-1
43142
-1
-1
67943
-1
88516
92003
-1
-1
91965
-1
-1
-1
99876
-1
100271
67495
-1
91967
100296
-1
100295
67482
-1
88810
-1
-1
89503
67643
-1
68216
-1
-1
101172
-1
67395
-1
66456
88714
-1
67606
66933
-1
67393
-1
67611
-1
-1
-1
115272
115697
117717
116759
-1
115786
-1
114587
114586
117022
-1
-1
-1
113306
115772
115776
-1
116455
-1
117236
115542
-1
-1
115822
113109
90393
-1
-1
-1
-1
55826
-1
-1
64176
64175
-1
-1
61783
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
54638
55054
54643
-1
61782
-1
-1
57951
62524
-1
-1
-1
-1
-1
-1
52662
-1
-1
-1
-1
-1
60824
60825
-1
60826
-1
-1
-1
63498
-1
-1
-1
7219
-1
-1
-1
2468
-1
-1
1644
-1
-1
-1
-1
-1
737
612
4906
-1
4431
5330
7051
-1
7794
-1
-1
-1
-1
7134
-1
-1
-1
8469
-1
7114
4015
5135
1968
-1
-1
-1
-1
6596
-1
3085
-1
-1
-1
-1
-1
1111
4178
-1
14495
13445
11839
-1
14039
14435
-1
14265
-1
-1
-1
13450
-1
-1
-1
8817
-1
-1
-1
-1
12717
-1
-1
13076
14624
-1
-1
11897
13653
13121
-1
-1
11895
11570
14865
11894
-1
-1
12136
-1
11572
-1
11580
11922
11824
14030
85128
14037
11939
90032
-1
-1
14371
-1
-1
77271
82822
78197
135214
132667
135136
84372
77308
-1
82171
130279
77310
82953
-1
-1
83053
162416
77520
-1
83478
77461
82809
138102
76926
-1
80323
80583
77712
81163
-1
-1
82805
82802
134211
78287
77993
-1
77199
135029
134418
143014
82221
80600
